value,label,description
s1,【機械系】,機械の設計や加工、動かすしくみについて深く学びたい
s2,【材料系】,さまざまな材料の性質や加工・開発技術について深く学びたい
s3,【電気系】,電気のしくみやエネルギー制御について深く学びたい
s4,【電子系】,電子機器やシステムの設計・開発について深く学びたい
s5,【情報系】,プログラミングやAIについて深く学びたい
s6,【化学・生物系】,化学物質の性質や応用技術、バイオ工学について深く学びたい
s7,【建築系】,建物の設計や安全性について深く学びたい
s8,【土木系】,道路や橋などのインフラの維持管理・まちづくりについて深く学びたい
s9,【商船系】,船の運航やしくみについて深く学び、航海士・機関士になりたい
s10,【経済・ビジネス系】,経営や語学などを総合的に学び、国際的に活躍できるビジネスパーソンになりたい
